Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/1           PrintTitle [225]
                0.00    0.00       1/1           ReadOptions [234]
                0.00    0.00       1/1           IsTimingEnabled [224]
                0.00    0.00       1/1           CheckOptions [219]
                0.00    0.00       1/1           CheckArch [218]
                0.00    0.00       1/1           CheckSetup [221]
                0.00    0.00       1/1           ShowSetup [247]
                0.00    0.00       1/1           set_graphics_state [321]
                0.00    0.00       1/1           freeArch [285]
-----------------------------------------------
                0.00    6.08       1/1           main [1]
[2]     99.5    0.00    6.08       1         place_and_route [2]
                0.00    6.08       1/1           try_place [3]
                0.00    0.00       1/1           print_place [318]
                0.00    0.00       1/1           post_place_sync [317]
-----------------------------------------------
                0.00    6.08       1/1           place_and_route [2]
[3]     99.5    0.00    6.08       1         try_place [3]
                0.55    4.31  869860/869998      try_swap [4]
                0.00    1.13       1/1           alloc_lookups_and_criticalities [6]
                0.03    0.00     124/124         load_net_slack [36]
                0.03    0.00      15/15          recompute_bb_cost [37]
                0.00    0.01     511/511         get_mst_of_net [57]
                0.00    0.01     138/139         comp_td_costs [63]
                0.00    0.01       1/1           check_place [64]
                0.00    0.01       1/2           comp_bb_cost [51]
                0.00    0.00       1/1           starting_t [70]
                0.00    0.00       1/1           initial_placement [78]
                0.00    0.00     124/124         load_timing_graph_net_delays [167]
                0.00    0.00     123/123         load_criticalities [169]
                0.00    0.00     123/123         update_screen [170]
                0.00    0.00     122/123         get_std_dev [168]
                0.00    0.00     122/122         exit_crit [171]
                0.00    0.00     121/121         update_t [173]
                0.00    0.00     121/121         update_rlim [172]
                0.00    0.00       2/383841      my_malloc [80]
                0.00    0.00       1/2           init_chan [215]
                0.00    0.00       1/1           alloc_and_load_placement_structs [255]
                0.00    0.00       1/1           init_draw_coords [311]
                0.00    0.00       1/1           count_connections [279]
                0.00    0.00       1/1           compute_net_pin_index_values [278]
                0.00    0.00       1/1           free_placement_structs [294]
                0.00    0.00       1/1           free_lookups_and_criticalities [291]
-----------------------------------------------
                0.00    0.00     138/869998      starting_t [70]
