Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00     440/68548       load_sblock_pattern_lookup [30]
                0.00    0.00    2240/68548       get_unidir_opin_connections [23]
                0.12    0.00   65868/68548       get_unidir_track_to_chan_seg [8]
[10]     4.4    0.12    0.00   68548         label_wire_muxes [10]
                0.00    0.00   68548/377666      my_malloc [37]
-----------------------------------------------
                0.07    0.00     124/124         try_place [1]
[11]     2.5    0.07    0.00     124         load_net_slack [11]
-----------------------------------------------
                0.07    0.00 3008047/3008047     try_swap [3]
[12]     2.5    0.07    0.00 3008047         update_bb [12]
-----------------------------------------------
                0.00    0.00      36/315200      comp_bb_cost [34]
                0.06    0.00  315164/315200      try_swap [3]
[13]     2.4    0.07    0.00  315200         get_bb_from_scratch [13]
-----------------------------------------------
                0.00    0.00     138/3022684     try_place [1]
                0.03    0.00 3022546/3022684     try_swap [3]
[14]     1.1    0.03    0.00 3022684         my_irand [14]
-----------------------------------------------
                0.00    0.00     264/1342470     load_rr_indexed_data_T_values [35]
                0.00    0.00     264/1342470     alloc_and_load_rr_indexed_data [33]
                0.00    0.00     956/1342470     load_net_rr_terminals [32]
                0.00    0.00   25078/1342470     build_rr_graph [7]
                0.00    0.00   73920/1342470     get_unidir_opin_connections [23]
                0.03    0.00 1241988/1342470     get_unidir_track_to_chan_seg [8]
[15]     1.1    0.03    0.00 1342470         get_rr_node_index [15]
-----------------------------------------------
                0.00    0.00     119/477         compute_delay_lookup_tables [6]
                0.01    0.02     358/477         postscript [17]
[16]     1.1    0.01    0.02     477         timing_driven_route_net [16]
                0.01    0.00     477/477         empty_heap [21]
                0.01    0.00  222082/222559      get_timing_driven_expected_cost [18]
                0.00    0.00     477/477         add_route_tree_to_heap [31]
                0.00    0.00  222082/222082      get_rr_cong_cost [39]
                0.00    0.00  222082/222559      node_to_heap [38]
                0.00    0.00   22465/22465       get_heap_head [46]
                0.00    0.00   22465/22465       free_heap_data [45]
                0.00    0.00   19536/19536       add_to_mod_list [49]
                0.00    0.00     954/954         pathfinder_update_one_cost [59]
                0.00    0.00     477/477         free_traceback [63]
                0.00    0.00     477/477         heapsort [64]
                0.00    0.00     477/477         init_route_tree_to_source [65]
                0.00    0.00     477/477         mark_ends [67]
                0.00    0.00     477/477         update_traceback [71]
                0.00    0.00     477/477         update_route_tree [70]
                0.00    0.00     477/477         reset_path_costs [68]
                0.00    0.00     477/477         free_route_tree [62]
                0.00    0.00     477/477         update_net_delays_from_route_tree [69]
-----------------------------------------------
                                 358             postscript [17]
                0.00    0.02     359/359         compute_delay_lookup_tables [6]
[17]     0.8    0.00    0.02     359+358     postscript [17]
                0.01    0.02     358/477         timing_driven_route_net [16]
                0.00    0.00     358/478         load_net_rr_terminals [32]
                                 358             postscript [17]
-----------------------------------------------
                0.00    0.00     477/222559      add_route_tree_to_heap [31]
                0.01    0.00  222082/222559      timing_driven_route_net [16]
[18]     0.4    0.01    0.00  222559         get_timing_driven_expected_cost [18]
-----------------------------------------------
                0.01    0.00   15972/15972       build_rr_graph [7]
[19]     0.4    0.01    0.00   15972         get_track_to_ipins [19]
                0.00    0.00   78880/218668      insert_in_edge_list [40]
-----------------------------------------------
                0.01    0.00     511/511         try_place [1]
[20]     0.4    0.01    0.00     511         get_mst_of_net [20]
                0.00    0.00    1022/377666      my_malloc [37]
-----------------------------------------------
                0.01    0.00     477/477         timing_driven_route_net [16]
[21]     0.4    0.01    0.00     477         empty_heap [21]
-----------------------------------------------
                0.01    0.00       1/1           build_rr_graph [7]
[22]     0.4    0.01    0.00       1         add_rr_graph_C_from_switches [22]
                0.00    0.00   78880/78880       seg_index_of_cblock [41]
                0.00    0.00   65868/65868       seg_index_of_sblock [42]
                0.00    0.00       3/171         my_calloc [82]
-----------------------------------------------
                0.00    0.01    1120/1120        build_rr_graph [7]
[23]     0.2    0.00    0.01    1120         get_unidir_opin_connections [23]
                0.00    0.00    2240/68548       label_wire_muxes [10]
                0.00    0.00   73920/1342470     get_rr_node_index [15]
                0.00    0.00   73920/218668      insert_in_edge_list [40]
-----------------------------------------------
                0.00    0.00       1/222         SetupVPR [26]
                0.00    0.00      18/222         XmlReadArch [27]
                0.00    0.00     203/222         ProcessTypes [28]
[24]     0.2    0.00    0.01     222         FreeNode [24]
                0.01    0.00     222/222         ezxml_cut [25]
-----------------------------------------------
                0.01    0.00     222/222         FreeNode [24]
[25]     0.2    0.01    0.00     222         ezxml_cut [25]
-----------------------------------------------
                                                 <spontaneous>
[26]     0.2    0.00    0.01                 SetupVPR [26]
                0.00    0.00       1/1           XmlReadArch [27]
                0.00    0.00       1/222         FreeNode [24]
                0.00    0.00     192/377666      my_malloc [37]
                0.00    0.00       6/6           alloc_and_load_grid [92]
                0.00    0.00       5/430         free_matrix [74]
                0.00    0.00       2/171         my_calloc [82]
                0.00    0.00       1/222         ezxml_free [76]
                0.00    0.00       1/1           my_srandom [143]
                0.00    0.00       1/1           read_netlist [146]
                0.00    0.00       1/1           check_netlist [121]
-----------------------------------------------
                0.00    0.00       1/1           SetupVPR [26]
[27]     0.2    0.00    0.00       1         XmlReadArch [27]
                0.00    0.00       1/1           ProcessTypes [28]
                0.00    0.00      18/222         FreeNode [24]
                0.00    0.00      27/183         ezxml_attr [79]
                0.00    0.00      26/125         ezxml_set_attr [84]
                0.00    0.00      18/43          ezxml_child [89]
                0.00    0.00      18/222         ezxml_free [76]
